"time","temp","feels","wind","gust","rain","humidity","cloud","pressure","vis","date"
"09:00","5 °c","0 °c","24 km/h from W","32 km/h","0.0 mm","67%","11%","1017 mb",Excellent,"2019-03-11"
"12:00","7 °c","3 °c","25 km/h from W","29 km/h","0.0 mm","54%","25%","1018 mb",Excellent,"2019-03-11"
"15:00","7 °c","4 °c","23 km/h from SW","29 km/h","0.0 mm","56%","67%","1017 mb",Excellent,"2019-03-11"
"18:00","5 °c","1 °c","21 km/h from SSW","32 km/h","0.0 mm","75%","86%","1013 mb",Excellent,"2019-03-11"
"21:00","1 °c","1 °c","26 km/h from S","38 km/h","0.8 mm","81%","100%","1007 mb",Excellent,"2019-03-11"
"00:00","7 °c","2 °c","40 km/h from S","58 km/h","3.4 mm","79%","78%","998 mb",Good,"2019-03-12"
"03:00","9 °c","5 °c","35 km/h from SW","43 km/h","2.6 mm","87%","100%","993 mb",Good,"2019-03-12"
"06:00","6 °c","1 °c","27 km/h from WSW","37 km/h","4.3 mm","82%","90%","992 mb",Good,"2019-03-12"
"09:00","6 °c","1 °c","27 km/h from WSW","35 km/h","0.3 mm","73%","89%","992 mb",Poor,"2019-03-12"
"12:00","7 °c","2 °c","35 km/h from WSW","41 km/h","0.0 mm","61%","47%","991 mb",Excellent,"2019-03-12"
"15:00","7 °c","1 °c","42 km/h from SW","48 km/h","0.1 mm","56%","94%","987 mb",Excellent,"2019-03-12"
"18:00","6 °c","0 °c","42 km/h from SW","58 km/h","0.0 mm","79%","100%","982 mb",Excellent,"2019-03-12"
"21:00","4 °c","4 °c","44 km/h from WSW","61 km/h","3.0 mm","76%","90%","979 mb",Good,"2019-03-12"
"00:00","7 °c","1 °c","50 km/h from W","68 km/h","5.4 mm","76%","100%","979 mb",Good,"2019-03-13"
"03:00","7 °c","2 °c","46 km/h from WNW","63 km/h","0.0 mm","69%","15%","984 mb",Excellent,"2019-03-13"
"06:00","6 °c","1 °c","36 km/h from WNW","55 km/h","0.0 mm","72%","6%","990 mb",Excellent,"2019-03-13"
"09:00","7 °c","3 °c","36 km/h from WNW","48 km/h","0.0 mm","70%","53%","996 mb",Excellent,"2019-03-13"
"12:00","9 °c","4 °c","39 km/h from WNW","47 km/h","0.0 mm","62%","68%","1000 mb",Excellent,"2019-03-13"
"15:00","8 °c","4 °c","35 km/h from WNW","45 km/h","0.3 mm","64%","84%","1003 mb",Excellent,"2019-03-13"
"18:00","6 °c","2 °c","26 km/h from W","37 km/h","0.0 mm","70%","79%","1003 mb",Excellent,"2019-03-13"
"21:00","2 °c","2 °c","32 km/h from WSW","44 km/h","0.1 mm","81%","100%","1000 mb",Excellent,"2019-03-13"
"00:00","7 °c","2 °c","37 km/h from WSW","51 km/h","1.2 mm","86%","100%","994 mb",Excellent,"2019-03-14"
"03:00","7 °c","3 °c","32 km/h from WSW","44 km/h","2.8 mm","88%","100%","990 mb",Good,"2019-03-14"
"06:00","7 °c","3 °c","30 km/h from W","42 km/h","2.2 mm","84%","73%","990 mb",Excellent,"2019-03-14"
"09:00","7 °c","3 °c","31 km/h from W","39 km/h","0.5 mm","73%","56%","993 mb",Excellent,"2019-03-14"
"12:00","8 °c","4 °c","34 km/h from WNW","42 km/h","0.0 mm","61%","100%","995 mb",Excellent,"2019-03-14"
"15:00","8 °c","4 °c","34 km/h from W","45 km/h","0.3 mm","61%","100%","997 mb",Excellent,"2019-03-14"
"18:00","6 °c","2 °c","25 km/h from W","40 km/h","0.0 mm","69%","53%","998 mb",Excellent,"2019-03-14"
"21:00","5 °c","1 °c","22 km/h from WSW","34 km/h","0.0 mm","77%","71%","998 mb",Excellent,"2019-03-14"
"00:00","6 °c","2 °c","21 km/h from WSW","29 km/h","0.0 mm","83%","100%","996 mb",Excellent,"2019-03-15"
"03:00","7 °c","3 °c","30 km/h from WSW","42 km/h","0.0 mm","85%","100%","992 mb",Excellent,"2019-03-15"
"06:00","7 °c","2 °c","39 km/h from W","55 km/h","0.0 mm","74%","90%","992 mb",Excellent,"2019-03-15"
"09:00","6 °c","1 °c","41 km/h from W","52 km/h","0.1 mm","63%","72%","995 mb",Excellent,"2019-03-15"
"12:00","7 °c","2 °c","42 km/h from W","49 km/h","0.0 mm","54%","55%","997 mb",Excellent,"2019-03-15"
"15:00","7 °c","2 °c","38 km/h from W","46 km/h","0.2 mm","54%","83%","999 mb",Excellent,"2019-03-15"
"18:00","5 °c","0 °c","27 km/h from W","39 km/h","0.0 mm","62%","49%","1000 mb",Excellent,"2019-03-15"
"21:00","4 °c",-1 °c,"25 km/h from W","36 km/h","0.0 mm","66%","38%","1001 mb",Excellent,"2019-03-15"
"00:00","4 °c",-1 °c,"21 km/h from WSW","31 km/h","0.0 mm","70%","52%","1002 mb",Excellent,"2019-03-16"
"03:00","4 °c","1 °c","12 km/h from SW","17 km/h","0.2 mm","84%","76%","998 mb",Poor,"2019-03-16"
"06:00","4 °c","2 °c","8 km/h from SE","11 km/h","1.4 mm","88%","100%","994 mb",Excellent,"2019-03-16"
"09:00","4 °c","0 °c","19 km/h from E","24 km/h","3.4 mm","89%","100%","990 mb",Good,"2019-03-16"
"12:00","4 °c","0 °c","17 km/h from ENE","21 km/h","6.4 mm","92%","100%","985 mb",Good,"2019-03-16"
"15:00","5 °c","2 °c","13 km/h from NNE","17 km/h","2.3 mm","94%","100%","983 mb",Excellent,"2019-03-16"
"18:00","4 °c",-1 °c,"20 km/h from NNW","26 km/h","2.9 mm","90%","100%","983 mb",Good,"2019-03-16"
"21:00","3 °c",-1 °c,"20 km/h from WNW","28 km/h","2.0 mm","86%","92%","986 mb",Excellent,"2019-03-16"
"00:00","3 °c",-2 °c,"20 km/h from WNW","28 km/h","0.9 mm","83%","100%","989 mb",Poor,"2019-03-17"
"03:00","2 °c",-4 °c,"22 km/h from W","35 km/h","0.0 mm","81%","77%","990 mb",Excellent,"2019-03-17"
"06:00","2 °c",-4 °c,"25 km/h from W","39 km/h","0.0 mm","79%","21%","992 mb",Excellent,"2019-03-17"
"09:00","5 °c","0 °c","32 km/h from W","40 km/h","0.0 mm","69%","83%","994 mb",Excellent,"2019-03-17"
"12:00","8 °c","5 °c","28 km/h from WNW","33 km/h","0.0 mm","63%","64%","997 mb",Excellent,"2019-03-17"
"15:00","9 °c","5 °c","25 km/h from NW","31 km/h","0.5 mm","61%","75%","1002 mb",Excellent,"2019-03-17"
"18:00","6 °c","2 °c","17 km/h from NW","28 km/h","0.0 mm","70%","25%","1006 mb",Excellent,"2019-03-17"
"21:00","3 °c",-1 °c,"17 km/h from WNW","28 km/h","0.0 mm","76%","7%","1011 mb",Excellent,"2019-03-17"
"00:00","2 °c",-1 °c,"13 km/h from W","22 km/h","0.0 mm","80%","24%","1013 mb",Excellent,"2019-03-18"
